,지역(1),지역(2),법인+일반,법인,개인사업자(일반),연도
1,지역별,소계,3389802.0,557390.0,2832412.0,2010
2,서울,소계,900333.0,176286.0,724047.0,2010
3,서울,강남구,104664.0,34942.0,69722.0,2010
4,서울,강동구,25155.0,3617.0,21538.0,2010
5,서울,강북구,13952.0,1252.0,12700.0,2010
6,서울,강서구,30278.0,5264.0,25014.0,2010
7,서울,관악구,26099.0,2900.0,23199.0,2010
8,서울,광진구,24194.0,3903.0,20291.0,2010
9,서울,구로구,43048.0,8318.0,34730.0,2010
10,서울,금천구,26721.0,8148.0,18573.0,2010
11,서울,노원구,19571.0,2039.0,17532.0,2010
12,서울,도봉구,12593.0,1352.0,11241.0,2010
13,서울,동대문구,31758.0,3890.0,27868.0,2010
14,서울,동작구,16327.0,2392.0,13935.0,2010
15,서울,마포구,42066.0,9954.0,32112.0,2010
16,서울,서대문구,20253.0,2360.0,17893.0,2010
17,서울,서초구,72206.0,20482.0,51724.0,2010
18,서울,성동구,23525.0,5107.0,18418.0,2010
19,서울,성북구,19623.0,2365.0,17258.0,2010
20,서울,송파구,50358.0,11775.0,38583.0,2010
21,서울,양천구,24838.0,3348.0,21490.0,2010
22,서울,영등포구,66706.0,13385.0,53321.0,2010
23,서울,용산구,30009.0,6194.0,23815.0,2010
24,서울,은평구,20596.0,1934.0,18662.0,2010
25,서울,종로구,49338.0,8244.0,41094.0,2010
26,서울,중구,86389.0,11339.0,75050.0,2010
27,서울,중랑구,20066.0,1782.0,18284.0,2010
28,인천,소계,182113.0,23405.0,158708.0,2010
29,인천,강화군,3515.0,528.0,2987.0,2010
30,인천,계양구,17394.0,1860.0,15534.0,2010
31,인천,남동구,36126.0,5622.0,30504.0,2010
32,인천,동구,8770.0,1150.0,7620.0,2010
33,인천,미추홀구,25877.0,2730.0,23147.0,2010
34,인천,부평구,28246.0,3202.0,25044.0,2010
35,인천,서구,31467.0,4282.0,27185.0,2010
36,인천,연수구,14418.0,1507.0,12911.0,2010
37,인천,옹진군,771.0,167.0,604.0,2010
38,인천,중구,15529.0,2357.0,13172.0,2010
39,경기,소계,856801.0,121974.0,734827.0,2010
