,지역(1),지역(2),세대,총전입,총전출,순이동,시도내이동-시군구내,시도내이동-시군구간 전입,시도내이동-시군구간 전출,시도간전입,시도간전출,연도
0,경기도,가평군,노년층,1147.0,876.0,271.0,172.0,387.0,270.0,588.0,434.0,2010
1,경기도,가평군,노년층,990.0,815.0,175.0,110.0,318.0,314.0,562.0,391.0,2011
2,경기도,가평군,노년층,1194.0,860.0,334.0,148.0,403.0,284.0,643.0,428.0,2012
3,경기도,가평군,노년층,1057.0,905.0,152.0,128.0,368.0,326.0,561.0,451.0,2013
4,경기도,가평군,노년층,1158.0,985.0,173.0,188.0,334.0,308.0,636.0,489.0,2014
5,경기도,가평군,노년층,1308.0,970.0,338.0,138.0,465.0,338.0,705.0,494.0,2015
6,경기도,가평군,노년층,1282.0,1078.0,204.0,166.0,410.0,380.0,706.0,532.0,2016
7,경기도,가평군,노년층,1268.0,1056.0,212.0,165.0,409.0,353.0,694.0,538.0,2017
8,경기도,가평군,노년층,1406.0,1201.0,205.0,179.0,468.0,481.0,759.0,541.0,2018
9,경기도,가평군,노년층,1313.0,1242.0,71.0,167.0,426.0,453.0,720.0,622.0,2019
10,경기도,가평군,노년층,1659.0,1385.0,274.0,188.0,612.0,537.0,859.0,660.0,2020
11,경기도,가평군,중장년층,3076.0,2575.0,501.0,375.0,1129.0,931.0,1572.0,1269.0,2010
12,경기도,가평군,중장년층,3072.0,2565.0,507.0,317.0,1138.0,1004.0,1617.0,1244.0,2011
13,경기도,가평군,중장년층,3342.0,2595.0,747.0,455.0,1263.0,878.0,1624.0,1262.0,2012
14,경기도,가평군,중장년층,2833.0,2471.0,362.0,423.0,1040.0,815.0,1370.0,1233.0,2013
15,경기도,가평군,중장년층,3143.0,2639.0,504.0,409.0,1127.0,969.0,1607.0,1261.0,2014
16,경기도,가평군,중장년층,3043.0,2476.0,567.0,332.0,1167.0,951.0,1544.0,1193.0,2015
17,경기도,가평군,중장년층,2945.0,2498.0,447.0,403.0,1022.0,929.0,1520.0,1166.0,2016
18,경기도,가평군,중장년층,3068.0,2505.0,563.0,392.0,1100.0,920.0,1576.0,1193.0,2017
19,경기도,가평군,중장년층,3011.0,2654.0,357.0,477.0,1061.0,966.0,1473.0,1211.0,2018
20,경기도,가평군,중장년층,2657.0,2490.0,167.0,384.0,955.0,935.0,1318.0,1171.0,2019
21,경기도,가평군,중장년층,2681.0,2413.0,268.0,332.0,1011.0,944.0,1338.0,1137.0,2020
22,경기도,가평군,청년층,1993.0,2064.0,-71.0,183.0,653.0,770.0,1157.0,1111.0,2010
23,경기도,가평군,청년층,1970.0,2074.0,-104.0,195.0,637.0,707.0,1138.0,1172.0,2011
24,경기도,가평군,청년층,2199.0,2072.0,127.0,228.0,693.0,638.0,1278.0,1206.0,2012
25,경기도,가평군,청년층,1843.0,2017.0,-174.0,209.0,557.0,622.0,1077.0,1186.0,2013
26,경기도,가평군,청년층,1848.0,2113.0,-265.0,182.0,618.0,698.0,1048.0,1233.0,2014
27,경기도,가평군,청년층,1929.0,2043.0,-114.0,210.0,612.0,667.0,1107.0,1166.0,2015
28,경기도,가평군,청년층,1992.0,1961.0,31.0,175.0,661.0,663.0,1156.0,1123.0,2016
29,경기도,가평군,청년층,1897.0,1894.0,3.0,186.0,623.0,652.0,1088.0,1056.0,2017
30,경기도,가평군,청년층,1807.0,1995.0,-188.0,200.0,590.0,668.0,1017.0,1127.0,2018
31,경기도,가평군,청년층,1768.0,2110.0,-342.0,194.0,561.0,767.0,1013.0,1149.0,2019
32,경기도,가평군,청년층,1998.0,2074.0,-76.0,192.0,604.0,793.0,1202.0,1089.0,2020
33,서울특별시,강남구,노년층,7479.0,9230.0,-1751.0,1755.0,2708.0,3178.0,3016.0,4297.0,2010
34,서울특별시,강남구,노년층,9111.0,10442.0,-1331.0,2430.0,3657.0,3601.0,3024.0,4411.0,2011
35,서울특별시,강남구,노년층,7085.0,8442.0,-1357.0,1600.0,2781.0,3031.0,2704.0,3811.0,2012
36,서울특별시,강남구,노년층,7575.0,8936.0,-1361.0,1842.0,2966.0,3087.0,2767.0,4007.0,2013
37,서울특별시,강남구,노년층,10167.0,10102.0,65.0,2585.0,4361.0,3491.0,3221.0,4026.0,2014
38,서울특별시,강남구,노년층,9841.0,11924.0,-2083.0,3004.0,3690.0,4144.0,3147.0,4776.0,2015
39,서울특별시,강남구,노년층,8605.0,11276.0,-2671.0,2636.0,3081.0,3932.0,2888.0,4708.0,2016
40,서울특별시,강남구,노년층,8440.0,11440.0,-3000.0,2600.0,3062.0,4313.0,2778.0,4527.0,2017
41,서울특별시,강남구,노년층,9364.0,13207.0,-3843.0,3277.0,3025.0,4881.0,3062.0,5049.0,2018
42,서울특별시,강남구,노년층,9316.0,10070.0,-754.0,2436.0,3704.0,3752.0,3176.0,3882.0,2019
43,서울특별시,강남구,노년층,9803.0,11706.0,-1903.0,2472.0,3721.0,4658.0,3610.0,4576.0,2020
44,서울특별시,강남구,중장년층,39755.0,42749.0,-2994.0,12114.0,15447.0,15869.0,12194.0,14766.0,2010
45,서울특별시,강남구,중장년층,41577.0,45393.0,-3816.0,14371.0,15857.0,16849.0,11349.0,14173.0,2011
46,서울특별시,강남구,중장년층,35344.0,37962.0,-2618.0,10805.0,14147.0,14110.0,10392.0,13047.0,2012
47,서울특별시,강남구,중장년층,35684.0,37773.0,-2089.0,11103.0,14162.0,13905.0,10419.0,12765.0,2013
48,서울특별시,강남구,중장년층,43247.0,39924.0,3323.0,13059.0,18298.0,14300.0,11890.0,12565.0,2014
49,서울특별시,강남구,중장년층,41613.0,44943.0,-3330.0,14258.0,16183.0,16233.0,11172.0,14452.0,2015
50,서울특별시,강남구,중장년층,36571.0,43426.0,-6855.0,12571.0,13655.0,16057.0,10345.0,14798.0,2016
51,서울특별시,강남구,중장년층,34820.0,41312.0,-6492.0,11974.0,13156.0,15998.0,9690.0,13340.0,2017
52,서울특별시,강남구,중장년층,35063.0,42615.0,-7552.0,12194.0,13040.0,16506.0,9829.0,13915.0,2018
53,서울특별시,강남구,중장년층,36338.0,37304.0,-966.0,11084.0,14681.0,14608.0,10573.0,11612.0,2019
54,서울특별시,강남구,중장년층,36589.0,40227.0,-3638.0,11271.0,14341.0,16453.0,10977.0,12503.0,2020
55,서울특별시,강남구,청년층,38998.0,41196.0,-2198.0,9533.0,14462.0,16725.0,15003.0,14938.0,2010
56,서울특별시,강남구,청년층,38605.0,41234.0,-2629.0,10141.0,14619.0,17007.0,13845.0,14086.0,2011
57,서울특별시,강남구,청년층,34598.0,35456.0,-858.0,7903.0,13181.0,14617.0,13514.0,12936.0,2012
58,서울특별시,강남구,청년층,32905.0,33998.0,-1093.0,7824.0,12618.0,13876.0,12463.0,12298.0,2013
59,서울특별시,강남구,청년층,38220.0,35036.0,3184.0,8961.0,15076.0,13873.0,14183.0,12202.0,2014
60,서울특별시,강남구,청년층,35362.0,37479.0,-2117.0,9202.0,12985.0,15035.0,13175.0,13242.0,2015
61,서울특별시,강남구,청년층,32076.0,35327.0,-3251.0,7849.0,11528.0,14613.0,12699.0,12865.0,2016
62,서울특별시,강남구,청년층,30523.0,33716.0,-3193.0,7492.0,10988.0,14477.0,12043.0,11747.0,2017
63,서울특별시,강남구,청년층,30579.0,34493.0,-3914.0,7480.0,10905.0,15502.0,12194.0,11511.0,2018
