,지역(1),지역(2),세대,총전입,총전출,순이동,시도내이동-시군구내,시도내이동-시군구간 전입,시도내이동-시군구간 전출,시도간전입,시도간전출,연도
198,경기도,경기도,노년층,184763.0,171160.0,13603.0,63411.0,50664.0,50664.0,70688.0,57085.0,2010
199,경기도,경기도,노년층,183451.0,172187.0,11264.0,66106.0,48365.0,48365.0,68980.0,57716.0,2011
200,경기도,경기도,노년층,174492.0,165214.0,9278.0,62982.0,46312.0,46312.0,65198.0,55920.0,2012
201,경기도,경기도,노년층,180413.0,171165.0,9248.0,67293.0,46961.0,46961.0,66159.0,56911.0,2013
202,경기도,경기도,노년층,189265.0,180378.0,8887.0,71659.0,49484.0,49484.0,68122.0,59235.0,2014
203,경기도,경기도,노년층,213591.0,195031.0,18560.0,81404.0,53940.0,53940.0,78247.0,59687.0,2015
204,경기도,경기도,노년층,225333.0,203412.0,21921.0,87096.0,56728.0,56728.0,81509.0,59588.0,2016
205,경기도,경기도,노년층,222689.0,204165.0,18524.0,85460.0,58392.0,58392.0,78837.0,60313.0,2017
206,경기도,경기도,노년층,244908.0,219520.0,25388.0,92893.0,65296.0,65296.0,86719.0,61331.0,2018
207,경기도,경기도,노년층,236583.0,218327.0,18256.0,91815.0,64213.0,64213.0,80555.0,62299.0,2019
208,경기도,경기도,노년층,283391.0,262042.0,21349.0,111072.0,77975.0,77975.0,94344.0,72995.0,2020
209,경기도,경기도,중장년층,793010.0,755002.0,38008.0,319560.0,224722.0,224722.0,248728.0,210720.0,2010
210,경기도,경기도,중장년층,761193.0,743655.0,17538.0,322825.0,207696.0,207696.0,230672.0,213134.0,2011
211,경기도,경기도,중장년층,722783.0,702192.0,20591.0,298795.0,199682.0,199682.0,224306.0,203715.0,2012
212,경기도,경기도,중장년층,711439.0,695377.0,16062.0,303213.0,193344.0,193344.0,214882.0,198820.0,2013
213,경기도,경기도,중장년층,718023.0,707041.0,10982.0,306123.0,195454.0,195454.0,216446.0,205464.0,2014
214,경기도,경기도,중장년층,769820.0,743580.0,26240.0,329637.0,208507.0,208507.0,231676.0,205436.0,2015
215,경기도,경기도,중장년층,762359.0,719729.0,42630.0,320079.0,204400.0,204400.0,237880.0,195250.0,2016
216,경기도,경기도,중장년층,737203.0,698159.0,39044.0,302994.0,206111.0,206111.0,228098.0,189054.0,2017
217,경기도,경기도,중장년층,800688.0,736962.0,63726.0,323011.0,230543.0,230543.0,247134.0,183408.0,2018
218,경기도,경기도,중장년층,751682.0,702796.0,48886.0,301686.0,220251.0,220251.0,229745.0,180859.0,2019
219,경기도,경기도,중장년층,828380.0,767200.0,61180.0,339603.0,235855.0,235855.0,252922.0,191742.0,2020
220,경기도,경기도,청년층,681274.0,615078.0,66196.0,224370.0,185041.0,185041.0,271863.0,205667.0,2010
221,경기도,경기도,청년층,638133.0,599393.0,38740.0,222803.0,170906.0,170906.0,244424.0,205684.0,2011
222,경기도,경기도,청년층,605106.0,563882.0,41224.0,205620.0,162872.0,162872.0,236614.0,195390.0,2012
