,지역(1),지역(2),주택유형,전세가격,연도
0,전국,전국,종합,76.22901523,2010
1,서울특별시,서울특별시,종합,73.40200257,2010
2,서울특별시,종로구,종합,81.93343128,2010
3,서울특별시,중구,종합,75.53680431,2010
4,서울특별시,용산구,종합,76.9209507,2010
5,서울특별시,성동구,종합,69.00104058,2010
6,서울특별시,광진구,종합,71.7630225,2010
7,서울특별시,동대문구,종합,74.54724589,2010
8,서울특별시,중랑구,종합,77.43262163,2010
9,서울특별시,성북구,종합,75.45967318,2010
10,서울특별시,강북구,종합,78.00148055,2010
11,서울특별시,도봉구,종합,73.12973267,2010
12,서울특별시,노원구,종합,68.26072995,2010
13,서울특별시,은평구,종합,79.17893229,2010
14,서울특별시,서대문구,종합,72.25331244,2010
15,서울특별시,마포구,종합,74.19649738,2010
16,서울특별시,양천구,종합,73.48898672,2010
17,서울특별시,강서구,종합,73.51630413,2010
18,서울특별시,구로구,종합,67.42530071,2010
19,서울특별시,금천구,종합,80.76644918,2010
20,서울특별시,영등포구,종합,69.95893162,2010
21,서울특별시,동작구,종합,71.71629302,2010
22,서울특별시,관악구,종합,73.96337443,2010
23,서울특별시,서초구,종합,75.51200233,2010
24,서울특별시,강남구,종합,74.86816039,2010
25,서울특별시,송파구,종합,71.73598208,2010
26,서울특별시,강동구,종합,69.28801479,2010
27,경기도,경기도,종합,71.30646283,2010
28,경기도,과천시,종합,71.65856441,2010
29,경기도,안양시,종합,69.43171335,2010
30,경기도,성남시,종합,72.69394987,2010
31,경기도,군포시,종합,68.92765024,2010
32,경기도,의왕시,종합,63.65539076,2010
33,경기도,안성시,종합,71.69179446,2010
34,경기도,용인시,종합,72.00719554,2010
35,경기도,수원시,종합,70.91004006,2010
36,경기도,부천시,종합,72.10075006,2010
37,경기도,안산시,종합,70.5702239,2010
38,경기도,시흥시,종합,69.79214595,2010
39,경기도,광명시,종합,68.67315513,2010
40,경기도,화성시,종합,68.49488091,2010
41,경기도,오산시,종합,64.91993356,2010
42,경기도,평택시,종합,79.90972029,2010
43,경기도,남양주시,종합,71.81674352,2010
44,경기도,구리시,종합,69.30951028,2010
45,경기도,하남시,종합,65.57834492,2010
46,경기도,광주시,종합,76.51070552,2010
47,경기도,이천시,종합,78.25822797,2010
48,경기도,여주시,종합,,2010
49,경기도,김포시,종합,73.13303808,2010
50,경기도,고양시,종합,66.55305959,2010
51,경기도,파주시,종합,71.89692966,2010
52,경기도,포천시,종합,,2010
53,경기도,동두천시,종합,74.17381077,2010
54,경기도,양주시,종합,65.16148577,2010
55,경기도,의정부시,종합,71.42493707,2010
56,인천광역시,인천광역시,종합,77.63155057,2010
57,부산광역시,부산광역시,종합,78.7858194,2010
58,대구광역시,대구광역시,종합,68.3528549,2010
59,광주광역시,광주광역시,종합,72.45975873,2010
